name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
Dietician Kiran Sharma,,,"540, Sector 10 Housing Board Colony, Faridabad, Haryana 121006",Faridabad,India,Housing complex,,,"https://www.google.com/maps/place/Dietician+Kiran+Sharma/@28.3702619,77.325433,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd00659dea4d:0x8105e0605edc19e7!8m2!3d28.3702619!4d77.325433!16s%2Fg%2F11x6vlqy9k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Rajsala Indian Gas,084331 86458,,"Shop No . 2720, Gali No.2, Pocket A, Sanjay Gandhi Memorial Nagar, Sector 48, Faridabad, Haryana 121001",Faridabad,India,Nutritionist,,,"https://www.google.com/maps/place/Rajsala+Indian+Gas/@28.4004853,77.2885903,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd3d423c6533:0x405c5b7ffe2a968b!8m2!3d28.4004853!4d77.2885903!16s%2Fg%2F11rdhks89v?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Dr Deepa Aggarwal,098711 44120,,"Sector 10, Dlf Faridabad, NCR, Region, Haryana 121006",Faridabad,India,Medical clinic,4.8,4,"https://www.google.com/maps/place/Dr+Deepa+Aggarwal/@28.3770401,77.3292751,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdc6174bc30d1:0x68ab86fb454a7adb!8m2!3d28.3770401!4d77.3292751!16s%2Fg%2F11s8zcmm8l?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Metro Heart Institute with Multispeciality,0129 691 1111,,"Sector 16 Rd, Nirman Kunj, ADB PWD Colony, Sector 16A, Faridabad, Haryana 121002",Faridabad,India,Hospital,4.2,4,"https://www.google.com/maps/place/Metro+Heart+Institute+with+Multispeciality/@28.4062409,77.3180601,17z/data=!3m1!4b1!4m6!3m5!1s0x390cddb3ab5b8a31:0x5b4eaace8319745b!8m2!3d28.4062409!4d77.3180601!16s%2Fg%2F1tftpgn4?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Amway Nutrition and Skin care products,098186 88383,,"BPTP Princess Park, M-1701, Sector 86, Faridabad, Haryana 121007",Faridabad,India,Nutritionist,,,"https://www.google.com/maps/place/Amway+Nutrition+and+Skin+care+products/@28.4061052,77.3428182,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd62c583d2c5:0x78a4d430e0032e92!8m2!3d28.4061052!4d77.3428182!16s%2Fg%2F11y31ln8n0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Naturofit,098115 95595,,"C1 / 1, Sector 11C, Faridabad, Haryana 121006",Faridabad,India,Wellness center,,,"https://www.google.com/maps/place/Naturofit/@28.3781536,77.3222529,17z/data=!3m1!4b1!4m6!3m5!1s0x390cddee1a5ada45:0x6f98a813dccd9258!8m2!3d28.3781536!4d77.3222529!16s%2Fg%2F11nfd6fcm0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
PHYSIOTHERAPIST IN FARIDABAD,099112 16400,,"88/10, Old Sabzi Mandi, Barh Mohalla, Old Faridabad, Faridabad, Haryana 121002",Faridabad,India,Physiotherapist,5.0,5,"https://www.google.com/maps/place/PHYSIOTHERAPIST+IN+FARIDABAD/@28.4169302,77.321336,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd453e4ef8e9:0xa9fb7a021186cd07!8m2!3d28.4169302!4d77.321336!16s%2Fg%2F11gv16pnm7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://book-appointment.healthplix.com/dr-yogesh-parashar-senior-physiotherapist-sector-16-old-faridabad-dividing-road-faridabad,poor_seo,35,Title too short; No meta description; No H1 heading; 3 images missing alt; No schema markup; No canonical tag
"Gymnastics, Fitness and Yoga by Sushil Sir",097168 48376,,"98HH+8HP, J-144, 9-10 Dividing Rd, J Block, Sector 10 HBC, Faridabad, Haryana 121006",Faridabad,India,Gymnastics center,5.0,5,"https://www.google.com/maps/place/Gymnastics,+Fitness+and+Yoga+by+Sushil+Sir/@28.3782931,77.328827,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd92b3b7b091:0x25ad7262ee50f998!8m2!3d28.3782931!4d77.328827!16s%2Fg%2F11pdwf2yws?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://wa.me/97168%2048376,poor_seo,50,Title too short; Meta desc too long; No HTTPS (insecure); 18 images missing alt; No schema markup; No canonical tag
Amway Distributer Faridabad Shop,078389 64389,care@amway.com,"C86W+R57, Unnamed Road, SRS Pearl, Sector 87, Neharpar Faridabad, Faridabad, Haryana 121014",Faridabad,India,Nutritionist,1.0,1,"https://www.google.com/maps/place/Amway+Distributer+Faridabad+Shop/@28.4120365,77.3454143,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd1b674d961b:0x7cc05381301055cc!8m2!3d28.4120365!4d77.3454143!16s%2Fg%2F11hbsnt26r?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.amway.in/,poor_seo,57,Meta desc too long; No H1 heading; No HTTPS (insecure); 6 images missing alt
FITGENE NUTRITION CLUB,,,"1st floor, 274, Sector 10 HBC, Faridabad, Haryana 121006",Faridabad,India,Nutritionist,,,"https://www.google.com/maps/place/FITGENE+NUTRITION+CLUB/@28.3767499,77.3253533,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd0035ddafdb:0xb6a535a8ff32eafe!8m2!3d28.3767499!4d77.3253533!16s%2Fg%2F11x91b8c4p?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Coravity Wellness,,,"C-1429/2, Pocket C, Sanjay Gandhi Memorial Nagar, Sector 48, Faridabad, Haryana 121001",Faridabad,India,Nutritionist,,,"https://www.google.com/maps/place/Coravity+Wellness/@28.4069484,77.2865227,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd105f6c0f73:0x9cf926087a0d05ea!8m2!3d28.4069484!4d77.2865227!16s%2Fg%2F11v5tj1g1g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Yash Clinics,092055 10212,,"Huda Market, NHS 06, Sector 17, Faridabad, Haryana 121002",Faridabad,India,Hospital,4.5,4,"https://www.google.com/maps/place/Yash+Clinics/@28.4099736,77.3310227,17z/data=!3m1!4b1!4m6!3m5!1s0x390cddaa1f504b69:0xa0c5bd3adf15ba34!8m2!3d28.4099736!4d77.3310227!16s%2Fg%2F11f15hgt4b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://yashclinics.in/,poor_seo,43,Title too short; No meta description; No H1 heading; No schema markup; No canonical tag
Dr. Renu Singh's Clinic‎,,,"BPTP Princess Park, Flat No 1204, Sector 86, Faridabad, Haryana 121007",Faridabad,India,Nutritionist,,,"https://www.google.com/maps/place/Dr.+Renu+Singh's+Clinic%E2%80%8E/@28.405252,77.3420309,17z/data=!3m1!4b1!4m6!3m5!1s0x390cddd491ae70bd:0xf0f90f8c46d1d4f8!8m2!3d28.405252!4d77.3420309!16s%2Fg%2F11fjnb8_m_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.thenutrifit.com/top-dietitian-in-delhi/,poor_seo,55,Title too long; No meta description; Multiple H1s (2); No schema markup; No canonical tag
