name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
Mahima Setia's Health and nutrition consultancy,074287 87125,,"TOWER-G, EMAAR MGF THE PALM DRIVE, Palm Dr, Badshahpur, Sector 66, Gurugram, Haryana 122101",Noida,Uttar Pradesh,Nutritionist,5.0,5,"https://www.google.com/maps/place/Mahima+Setia's+Health+and+nutrition+consultancy/@28.4006085,77.0531633,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae13a36054b637:0xcde61d1a3c8d627e!8m2!3d28.4006085!4d77.0531633!16s%2Fg%2F11j7rrr2yb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.mahimasetia.com/,poor_seo,43,Title too short; No meta description; No HTTPS (insecure); No schema markup; No canonical tag
Dietician| Nutritionist Nivya Vikal,,,"Block B, Sector 48, Noida, Ghaziabad, Uttar Pradesh 201303",Noida,Uttar Pradesh,Dietitian,,,"https://www.google.com/maps/place/Dietician%7C+Nutritionist+Nivya+Vikal/@28.5573442,77.3682563,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce55483112281:0x1087db39b01e2965!8m2!3d28.5573442!4d77.3682563!16s%2Fg%2F11wc2kh84z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Healthynutra-diets(from Dr Vasima),092668 22241,,"Flat no-206, Tower-D, VVIP Homes, Greater Noida W Rd, Gaur City 2, Ghaziabad, Chipyana Khurd Urf Tigri, Uttar Pradesh 201009",Noida,Uttar Pradesh,Nutritionist,4.9,4,"https://www.google.com/maps/place/Healthynutra-diets(from+Dr+Vasima)/@28.6203632,77.4231988,17z/data=!3m1!4b1!4m6!3m5!1s0x390cef6770f4d96d:0x4bf85df8d8b362d1!8m2!3d28.6203632!4d77.4231988!16s%2Fg%2F11h6ycw_nr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://healthy-nutradiets.com/,poor_seo,35,Title too short; No meta description; Not mobile-friendly; 5 images missing alt; No schema markup; No canonical tag
Diet Smart (By Dietitian Gitanjali ),099995 63315,,,Noida,Uttar Pradesh,Nutritionist,5.0,5,"https://www.google.com/maps/place/Diet+Smart+(By+Dietitian+Gitanjali+)/@40.266869,172.2861167,3z/data=!3m1!4b1!4m6!3m5!1s0x8cf63910c103e0af:0xd79c2653c74bb144!8m2!3d40.266869!4d172.2861167!16s%2Fg%2F11vt4hl6sk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://diet-smart.com/,poor_seo,50,Title too short; No meta description; 3 images missing alt; No schema markup; No canonical tag
Nutritionist Upasna Vashistha,,,"Unnamed Road, Sector 93B, Noida, Uttar Pradesh 201304",Noida,Uttar Pradesh,Nutritionist,5.0,5,"https://www.google.com/maps/place/Nutritionist+Upasna+Vashistha/@28.5125528,77.3906544,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce951a3a39331:0x2bb367f9e405af2c!8m2!3d28.5125528!4d77.3906544!16s%2Fg%2F11m9srcklk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Fonadiet clinic,079821 17791,,"12A, Lotus Boulevard, Sector 100, Noida, Uttar Pradesh 201301",Noida,Uttar Pradesh,Nutritionist,,,"https://www.google.com/maps/place/Fonadiet+clinic/@28.5450865,77.3676813,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce7fa5d64e7c1:0x680527293b1f7458!8m2!3d28.5450865!4d77.3676813!16s%2Fg%2F11y0t2yhnf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
"DR SHRADDHEY KATIYAR MBBS MD DIP. CLINICAL NUTRITION ,USA .",087004 89096,,"2201,CV-7, 74, Supertech Capetown, Sector 74, Noida, Uttar Pradesh 201316",Noida,Uttar Pradesh,Diabetes center,4.1,4,"https://www.google.com/maps/place/DR+SHRADDHEY+KATIYAR+MBBS+MD+DIP.+CLINICAL+NUTRITION+,USA+./@28.5766374,77.3878063,17z/data=!3m1!4b1!4m6!3m5!1s0x390cef61f8d84ce9:0x7ad663da5d13bc84!8m2!3d28.5766374!4d77.3878063!16s%2Fg%2F11r1vg650b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://skihealthcare.com/,poor_seo,43,Title too short; No meta description; No HTTPS (insecure); No schema markup; No canonical tag
Nutritionist Palak Sharma | Weight Loss Diet Plans for Women,079829 33715,,"435, Zinnia Gaur Saundaryam, Greater Noida W Rd, Iteda, Greater Noida, Uttar Pradesh 201318",Noida,Uttar Pradesh,Nutritionist,5.0,5,"https://www.google.com/maps/place/Nutritionist+Palak+Sharma+%7C+Weight+Loss+Diet+Plans+for+Women/@28.6038292,77.4367886,17z/data=!3m1!4b1!4m6!3m5!1s0x390cefea57a16d1b:0xa5e5ae694d3587f3!8m2!3d28.6038292!4d77.4367886!16s%2Fg%2F11y3drkl5b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Fitness Mantra by Dietitian Dr Soni Verma,088007 88377,,"Fitness Mantra By Dr Soni Verma, Dev Sai, Greater Noida W Rd, near Apex Golf Avenue, Sector 1, Sportshome, Bisrakh Jalalpur, Noida, Greater Noida, Uttar Pradesh 201318",Noida,Uttar Pradesh,Nutritionist,5.0,5,"https://www.google.com/maps/place/Fitness+Mantra+by+Dietitian+Dr+Soni+Verma/@28.5832846,77.4316515,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce59c18d7d371:0xa48a3bcedc0f789!8m2!3d28.5832846!4d77.4316515!16s%2Fg%2F11f_lv147p?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Dietician Indu Olak,,,"The Clinic 24x7, Shop No 4, MAHAGUN MART , Sector 78 Dietician, Sector 49, Noida, Uttar Pradesh 201304",Noida,Uttar Pradesh,Dietitian,,,"https://www.google.com/maps/place/Dietician+Indu+Olak/@28.5674735,77.3756347,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce53a5cd78ced:0x21c571a76ca9044d!8m2!3d28.5674735!4d77.3756347!16s%2Fg%2F11js95zfft?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Health Nest,097110 74834,,"PARAMOUNT EMOTIONS, Sector 1, West 1, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318",Noida,Uttar Pradesh,Nutritionist,4.8,4,"https://www.google.com/maps/place/Health+Nest/@28.5700043,77.4462688,17z/data=!3m1!4b1!4m6!3m5!1s0x390cef13f0dae34d:0xf4f9ada5cb0fa77b!8m2!3d28.5700043!4d77.4462688!16s%2Fg%2F11lkbjz94l?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://instagram.com/the_health_nest?igshid=j28wbm5f08z7,poor_seo,43,Title too short; No meta description; No H1 heading; No schema markup; No canonical tag
Dietitian Sanjana,,,"B-199, Block B, Sector 52, Noida, Uttar Pradesh 201307",Noida,Uttar Pradesh,Health consultant,5.0,5,"https://www.google.com/maps/place/Dietitian+Sanjana/@28.586836,77.366324,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce56ae2035f0f:0x536f6215fe098a34!8m2!3d28.586836!4d77.366324!16s%2Fg%2F11txk1640p?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.healthyfitme.in/,poor_seo,18,No page title; No meta description; No H1 heading; No HTTPS (insecure); No schema markup; No canonical tag
Nuviva Diet Clinic,078278 86827,,"Flat No, Express View HIG Apartment, pocket-C, 98A, Block C, Sector 105, Noida, Uttar Pradesh 201304",Noida,Uttar Pradesh,Nutritionist,5.0,5,"https://www.google.com/maps/place/Nuviva+Diet+Clinic/@28.5285949,77.3704551,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce6195cd7df8b:0xfa33cfdf7cfe71ee!8m2!3d28.5285949!4d77.3704551!16s%2Fg%2F11g9qpzg6d?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
SRB Nutrition by dietician Richa bharadwaj/dietitian greater Noida/Noida/NCR,073106 81945,,"Samvad Apartment, Gh-7, Alpha 1, Block E, Alpha I, Greater Noida, Uttar Pradesh 201310",Noida,Uttar Pradesh,Health consultant,5.0,5,"https://www.google.com/maps/place/SRB+Nutrition+by+dietician+Richa+bharadwaj%2Fdietitian+greater+Noida%2FNoida%2FNCR/@28.473855,77.514382,17z/data=!3m1!4b1!4m6!3m5!1s0x390ceb8f1d0a356d:0xda259c623e5301c!8m2!3d28.473855!4d77.514382!16s%2Fg%2F11k1j0r_ps?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Dr Gunjan Shrivastava,,,"D 110, Ace City Noida Extension, Sector 1, Aimnabad, Bisrakh Jalalpur, Noida, Bisrakh Jalalpur, Uttar Pradesh 201318",Noida,Uttar Pradesh,Nutritionist,4.3,4,"https://www.google.com/maps/place/Dr+Gunjan+Shrivastava/@28.5626846,77.4512589,17z/data=!3m1!4b1!4m6!3m5!1s0x390cef8081812857:0xd84d35d607567f8b!8m2!3d28.5626846!4d77.4512589!16s%2Fg%2F11h_6_hkz0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Cjp noida supplement,098004 90090,,"gali no 1, shiv mandir chowk, sd vidhya school, barola budh bazar road, Baraula, Sector 49, Noida, Uttar Pradesh 201304",Noida,Uttar Pradesh,Sports nutrition store,5.0,5,"https://www.google.com/maps/place/Cjp+noida+supplement/@28.5656218,77.3702424,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce5de7bd25399:0x5aff6c69d7d43518!8m2!3d28.5656218!4d77.3702424!16s%2Fg%2F11yply1hjk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.instagram.com/cjp_noida_supplement?igsh=MmtkMDJ3dXozNTd6&utm_source=qr,poor_seo,43,Title too short; No meta description; No H1 heading; No schema markup; No canonical tag
ivi Health & Wellness,,,"F Block, Sector 50, Noida, Uttar Pradesh 201303",Noida,Uttar Pradesh,Nutritionist,5.0,5,"https://www.google.com/maps/place/ivi+Health+%26+Wellness/@28.5787449,77.3764755,17z/data=!3m1!4b1!4m6!3m5!1s0x390cef2bdd876175:0xb3a07e57c22d3827!8m2!3d28.5787449!4d77.3764755!16s%2Fg%2F11t6yjyczk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Nutritionist Deepali,081787 26425,,"Upper Ground Floor, Supertech Mart, shop no 14 A, sec 01, Super tech eco village 1, Greater Noida, Habibpur, Uttar Pradesh 201306",Noida,Uttar Pradesh,Dietitian,5.0,5,"https://www.google.com/maps/place/Nutritionist+Deepali/@28.5199,77.4587239,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce9fb635269c9:0xaca5d5b8d79aca48!8m2!3d28.5199!4d77.4587239!16s%2Fg%2F11pw_f2fxy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
